InMichelin,Restaurant Name,Food,Decor,Service,Price
0,14 Wall Street,19,20,19,50
0,212,17,17,16,43
0,26 Seats,23,17,21,35
1,44,19,23,16,52
0,A,23,12,19,24
0,A.O.C.,18,17,17,36
1,A.O.C. Bedford,24,21,22,51
1,Aix,23,22,21,61
1,Alain Ducasse,27,27,27,179
0,Alouette,20,17,19,42
0,Arabelle,25,26,27,71
1,Artisanal,23,20,20,50
1,Asiate,23,27,23,82
0,Atelier,27,25,27,95
1,Balthazar,23,23,20,51
0,Barbès,22,19,22,40
1,Bayard's,24,25,24,64
0,BED New York,17,24,17,52
0,Bistro 61,20,16,21,38
1,Bistro Cassis,21,18,20,39
0,Bistro du Nord,19,16,17,42
1,Bistro du Vent,21,17,19,50
0,Bistro Le Steak,17,14,17,41
0,Bistro Les Amis,20,17,19,39
1,Bouley,28,26,27,87
1,Brasserie,20,22,19,48
1,Brasserie 8½,21,23,21,53
0,Brasserie Julien,17,19,17,41
1,Brasserie LCB,24,22,24,66
0,Cafe Gitane,21,16,15,24
0,Cafe Joul,18,12,18,39
0,Cafe Loup,18,17,19,40
0,Cafe Luxembourg,21,18,19,48
0,Cafe Un Deux Trois,16,15,16,40
1,Café Boulud,27,23,26,75
0,Café des Artistes,22,26,23,66
0,Café du Soleil,23,23,17,44
1,Café Gray,25,22,23,78
0,Café Pierre,22,25,23,71
0,CamaJe,22,17,18,33
1,Capsouto Frères,24,23,23,52
0,Casimir,20,20,16,34
1,Chanterelle,27,27,27,91
1,Chelsea Bistro,21,19,20,45
0,Chez Jacqueline,20,17,19,45
0,Chez Josephine,21,21,21,49
0,Chez Laurence,18,14,16,28
0,Chez Napoléon,20,13,21,41
1,Cité Grill,20,19,20,49
0,Cornelia Street Cafe,19,15,18,33
0,Cosette,20,14,21,36
0,Country Café,20,16,21,36
0,Danal,21,21,17,34
1,Daniel,28,28,28,108
0,Darna,20,20,17,37
1,db Bistro Moderne,25,22,23,60
0,Deux Amis,20,16,20,43
1,Django,20,23,20,51
0,"Elephant, The",21,18,15,34
0,Epicerie,20,19,16,32
1,FireBird,21,26,21,58
1,Fives,21,23,22,66
0,Flea Market Cafe,20,19,15,28
0,Florent,19,13,16,29
0,Frère Jacques,19,16,20,42
0,Félix,18,17,15,37
1,Fleur de Sel,25,20,23,65
1,Gascogne,23,21,21,47
1,Gavroche,19,15,17,42
1,Geisha,23,22,19,59
0,Indochine,21,20,17,48
0,Ivo & Lulu,24,13,22,25
1,Jack's Luxury Oyster Bar,25,21,23,72
0,Jacques Brasserie,18,17,18,40
1,Jarnac,22,20,23,50
1,Jean Claude,23,15,20,41
1,Jean Georges,27,26,27,95
1,Jean-Luc,20,20,18,51
1,JoJo,25,23,23,65
1,Jubilee,21,15,19,45
0,Jules,20,20,17,35
0,Kitchen Club,23,19,23,46
1,Komegashi,21,22,18,50
1,L'Absinthe,22,23,20,60
1,L'Ecole,24,20,23,43
0,L'Entrecote,20,15,23,45
0,L'Express,17,15,13,28
0,La Belle Vie,17,17,17,34
0,La Bergamote,26,13,14,13
0,La Bonne Soupe,18,14,16,28
0,La Boîte en Bois,20,16,20,48
1,La Goulue,20,20,18,57
1,La Grenouille,27,27,27,88
0,La Lunchonette,22,15,19,39
1,La Mangeoire,19,19,20,47
0,La Mediterranée,18,14,18,45
0,La Mirabelle,21,17,22,45
0,La Petite Auberge,20,15,21,43
0,La Ripaille,19,17,20,45
1,Landmarc,23,21,23,47
1,Le Bernardin,28,27,28,100
1,Le Bilboquet,20,15,15,50
0,Le Boeuf à la Mode,20,19,21,51
0,Le Charlot,19,15,15,50
1,Le Colonial,21,23,19,50
0,Le Gamin,20,17,14,22
1,Le Gigot,25,19,23,50
0,Le Jardin Bistro,21,18,19,40
0,Le Madeleine,20,19,19,44
0,Le Marais,20,14,16,50
0,Le Monde,17,18,14,30
1,Le Perigord,25,21,25,72
0,Le Pescadou,18,15,19,46
0,Le Refuge,21,20,21,53
0,Le Rivage,20,16,20,41
0,Le Singe Vert,19,17,16,36
1,Le Tableau,23,15,21,40
0,Les Enfants Terribles,21,20,18,37
1,Les Halles,21,17,16,42
1,Le Zinc,19,17,17,41
0,Lucien,22,17,18,39
0,Madison Bistro,19,16,18,43
1,Mark's,23,24,24,66
1,Marseille,20,19,19,48
1,Mercer Kitchen,22,22,19,53
0,Metropol,18,18,17,41
1,"Modern, The",25,26,22,70
0,Mon Petit Cafe,19,14,17,34
0,Montparnasse,20,19,18,43
1,Montrachet,26,20,24,68
0,Métisse,20,17,20,41
1,Nice Matin,20,19,18,45
1,Odeon,18,17,17,42
1,Orsay,18,21,17,53
1,Paradou,19,17,18,38
0,Paris Commune,18,18,16,39
1,Park Bistro,21,18,20,48
1,Park Terrace Bistro,21,20,20,33
0,Pascalou,20,13,17,39
1,Pastis,21,21,17,43
1,Payard Bistro,24,21,19,51
1,per se,28,27,28,201
0,Pershing Square,15,16,15,38
1,Petrossian,25,24,24,72
1,Picholine,27,24,25,79
0,Picnic Market & Café,23,13,17,27
0,Pigalle,17,17,16,34
0,Provence,21,21,20,52
1,Quatorze Bis,21,19,19,52
0,Raga,22,18,21,38
1,Raoul's,23,19,20,53
1,René Pujol,22,19,21,55
0,Rue 57,19,19,17,45
1,Sapa,21,26,19,55
0,Savann,19,15,18,38
0,Seppi's,18,16,17,44
0,Steak Frites,18,16,16,40
0,Table d'Hôte,19,17,19,43
0,Tartine,22,14,16,27
0,Terrace in the Sky,23,25,21,62
1,Tocqueville,25,21,24,65
1,Triomphe,25,22,22,65
0,Village,20,20,19,40
1,Vong,23,24,21,60
