Week,Sales,Price
1,611,0.67
2,673,0.66
3,710,0.67
4,478,0.66
5,425,0.66
6,601,0.65
7,607,0.67
8,637,0.67
9,507,0.68
10,467,0.68
11,411,0.78
12,538,0.77
13,2670,0.57
14,2966,0.57
15,857,0.67
16,440,0.78
17,455,0.78
18,472,0.78
19,430,0.78
20,413,0.78
21,413,0.77
22,424,0.79
23,1063,0.67
24,469,0.77
25,367,0.82
26,247,0.81
27,448,0.81
28,401,0.83
29,359,0.83
30,156,0.83
31,272,0.83
32,476,0.82
33,341,0.84
34,440,0.83
35,418,0.83
36,470,0.83
37,667,0.81
38,6831,0.59
39,2838,0.6
40,1248,0.7
41,991,0.71
42,696,0.71
43,640,0.71
44,590,0.7
45,655,0.7
46,830,0.71
47,831,0.7
48,741,0.71
49,816,0.71
50,855,0.71
51,2038,0.62
52,2910,0.59