Name,TigerWoods,PrizeMoney,AveDrivingDistance,DrivingAccuracy ,GIR,PuttingAverage,BirdieConversion,SandSaves,Scrambling,BounceBack,PuttsPerRound
Aaron Baddeley,0,60661,288.3,60.73,58.26,1.745,31.36,54.8,59.37,19.3,27.96
Adam Scott,0,262045,301.1,62,69.12,1.767,30.39,53.61,57.94,19.35,29.28
Alex Aragon,0,3635,302.6,51.12,59.11,1.787,29.89,37.93,50.78,16.8,29.2
Alex Cejka,0,17516,288.8,66.4,67.7,1.777,29.33,45.13,54.82,17.05,29.46
Arjun Atwal,0,16683,287.7,63.24,64.04,1.761,29.32,52.44,57.07,18.21,28.93
Arron Oberholser,0,107294,285,62.53,69.27,1.775,29.2,47.2,57.67,20,29.56
Bart Bryant,0,50620,282.2,72.76,68.67,1.812,24.95,41.84,55.46,20.85,30.06
Ben Crane,0,57273,285.8,63.51,62.01,1.736,32.28,45.6,56.49,19.59,28.46
Ben Curtis,0,86782,278.8,66.61,65.25,1.798,26.36,45,56.88,14.46,29.5
Bernhard Langer,0,23396,285.8,62.41,65.66,1.778,28.94,48.45,59.1,22,29.17
Bill Haas,0,29567,296.7,57.71,64.24,1.786,29.39,48.7,59.55,19.78,29.04
Billy Andrade,0,44080,285.6,62.84,66.44,1.788,27.7,45.3,58.84,18.36,29.31
Billy Mayfair,0,47172,282.3,70.14,66.55,1.796,26.65,48.61,60.42,13.15,29.36
Bo Van Pelt,0,49640,297.4,60.72,66.45,1.772,31.09,50,57.63,21.4,29.24
Bob Estes,0,53610,286.4,64.01,66.73,1.777,28.07,51.56,60.12,17.18,29.16
Bob May,0,26129,292.7,61.9,69.09,1.785,27.86,56.41,55.36,21.18,29.47
Bob Tway,0,11989,284.5,61.16,64.17,1.771,27.68,41.67,55.27,17.28,29.08
Brad Faxon,0,20911,270.3,57.56,58.05,1.771,28.13,46.85,57.22,18.8,28.5
Brandt Jobe,0,28658,297.2,61.12,67.23,1.79,28.02,46.88,54.91,19.62,29.59
Brent Geiberger,0,19683,286.9,67.04,64.95,1.778,28.04,47.74,60.46,19.62,28.96
Brett Quigley,0,79316,289.6,58.85,67.83,1.779,29.04,53.57,61.84,20.08,29.19
Brett Wetterich,0,120927,307.8,61.46,67.82,1.766,32.23,52.94,53.47,25.71,29.3
Brian Bateman,0,24814,296.7,59.78,64.53,1.808,25.53,47.42,57.83,19.29,29.29
Brian Davis,0,27224,286.6,70.06,65.37,1.79,28.34,50,59.54,24.71,29.21
Brian Gay,0,33471,274.8,68.64,63.19,1.727,31.05,61.59,64.6,19.92,28.05
Briny Baird,0,33782,285.1,71.39,70.2,1.777,28.87,44.55,56.42,24.12,29.64
Bubba Dickerson,0,20322,298.8,62.81,65.63,1.777,29.89,49.67,53.03,22.95,29.32
Bubba Watson,0,37751,319.6,51.5,66.74,1.797,30.66,42.97,58.35,22.48,29.56
Camilo Villegas,0,60073,302.1,58.06,65.29,1.78,30.55,45.21,56.45,22.46,29.29
Carl Pettersson,0,94571,286.6,61.01,62.31,1.776,29.62,53.05,58.95,24.14,28.84
Carlos Franco,0,15668,293.4,55.71,65.18,1.814,27.98,52.45,54.55,19.44,29.9
Chad Campbell,0,112443,290.9,59.77,67.43,1.795,28.02,58.45,57.84,19.43,29.51
Charles Howell III,0,51770,295.4,56.39,65.89,1.823,26.23,48.3,56.92,20.44,29.75
Charles Warren,0,37735,300.1,64.09,67.96,1.797,27.51,45.13,58.96,16.26,29.41
Charley Hoffman,0,38455,304.4,58.01,66.61,1.753,31.94,45.91,55.86,21.11,28.94
Chris Couch,0,50249,299.7,60.98,66.15,1.793,30.53,33.91,49.02,19.69,29.83
Chris DiMarco,0,59151,279.3,64.34,66.45,1.772,29.22,51.22,59.02,22.17,29.22
Chris Riley,0,18345,284.5,70.55,62.47,1.755,30.03,61.9,60.65,15.57,28.61
Chris Smith,0,8734,299.2,66.02,69.32,1.806,27.01,36.36,52.7,19.71,30.18
Corey Pavin,0,56873,265.9,67.66,63.57,1.815,23.43,58.33,66.45,12.29,28.91
Craig Barlow,0,45752,294.1,58.04,65.75,1.769,30.54,49.54,54.67,19.2,29.41
D.A. Points,0,14499,289.4,62.37,62.92,1.773,30.35,43.84,56.18,18.5,28.95
D.J. Trahan,0,31371,291.5,64.04,64.01,1.78,29.03,49.34,56.26,15.3,29.26
Daisuke Maruyama,0,38275,284.5,71.75,66.24,1.783,28.5,44.88,57.5,17.78,29.23
Daniel Chopra,0,46377,298.5,56.77,63.5,1.712,34.75,52.72,57.47,22.04,28.21
Danny Ellis,0,16630,293.6,60.58,62.59,1.764,28.93,43.21,58,18.95,28.84
Darron Stiles,0,10504,287.7,68.23,69.67,1.789,27.17,50.72,60.37,19.67,29.67
David Duval,0,13262,297.4,51.09,60.06,1.767,30.91,49.59,52.42,15.79,28.87
David Howell,0,65174,289.1,62.38,63.21,1.73,32.88,50,53.69,19.21,28.89
David McKenzie,0,15187,284.4,67.41,65.83,1.777,28.69,50.91,57.11,18.1,29.19
David Toms,0,132327,285.4,69.18,66.18,1.759,31.43,59.43,59.29,25.54,29.01
Davis Love III,0,119444,301.9,59.89,66.59,1.751,31.53,44.9,55.14,22.52,29
Dean Wilson,0,73819,282.9,63.47,65.27,1.765,29.26,55.32,59.37,23.43,28.83
Doug Barron,0,13865,275.5,67.49,60.43,1.781,28.59,60.5,60.77,16.89,28.58
Dudley Hart,0,26301,286.3,58.13,63.79,1.783,28.99,62.2,58.96,21.74,28.92
Duffy Waldorf,0,22340,286.6,67.92,66.24,1.803,28.35,58.9,59.03,19.14,29.47
Eric Axley,0,43951,294.6,63.68,65.73,1.748,31.14,39.58,56.47,19.28,28.8
Ernie Els,0,129234,295.1,57.62,63.72,1.759,30.51,53.23,59.33,20.67,28.72
Frank Lickliter II,0,57092,286.1,66.62,67.98,1.763,29.87,45.59,61,22.5,29.04
Fred Couples,0,45904,301.5,54.36,65.33,1.816,27.01,40.59,55.13,15.76,30.02
Fred Funk,0,54477,272.8,78.01,66.35,1.785,27.1,52.41,60.06,20.07,29.33
Fredrik Jacobson,0,43820,290.7,62.45,63.99,1.76,29.61,48.94,57.58,20.99,28.79
Geoff Ogilvy,0,217748,295.3,61.89,62.94,1.769,31.44,56.67,58.89,22.17,28.93
Greg Chalmers,0,5402,286.4,53.9,59.04,1.764,29.06,56.91,56.28,19.64,28.63
Greg Kraft,0,10528,275.8,70.01,62.74,1.77,27.22,44.25,58.05,15.49,28.95
Greg Owen,0,54862,295.1,67.13,68.54,1.812,28.87,42.27,62.61,20.73,29.64
Harrison Frazar,0,30656,304.6,60.94,64.04,1.748,32.7,49.39,57.72,23.26,28.55
Heath Slocum,0,39356,281.2,74.67,67.8,1.792,27.84,51.97,55.66,16.28,29.58
Henrik Bjornstad,0,15840,296.8,62.55,64.39,1.8,27.3,45.99,57.31,20.14,29.32
Hidemichi Tanaka,0,2240,281.7,58.88,57.91,1.824,23.92,53.91,54.07,16.09,29.26
Hunter Mahan,0,38188,295,68.31,67.4,1.777,31.06,46.32,55.13,18.82,29.65
Ian Leggatt,0,13031,291.9,61.1,63.23,1.793,27.93,47.86,54.47,19.43,29.28
Ian Poulter,0,103594,287.9,70.19,66.03,1.772,28.8,50.68,60.38,25.38,29.06
J.B. Holmes,0,57216,318.8,54.13,65.3,1.802,31.56,49.26,51.98,20.08,29.75
J.J. Henry,0,82196,295.9,60.03,68.16,1.788,28.12,39.68,54.78,22.99,29.69
J.L. Lewis,0,25804,279.6,64.2,62.67,1.802,26.37,47.62,58.75,20.79,29.23
J.P. Hayes,0,36918,287.2,66.88,64.24,1.753,32.6,36.84,58.76,23.53,28.84
James Driscoll,0,7583,296.4,50.54,61.32,1.817,28.83,48.59,54.58,17.25,29.39
Jason Bohn,0,57824,289,66.78,65.87,1.797,27.89,52.87,61.97,24.46,29.18
Jason Gore,0,24724,299.6,59.95,63.03,1.796,29.97,50,53.85,19.45,29.5
Jason Schultz,0,5265,293.1,59.43,63.19,1.808,27.73,46.09,56.54,16.67,29.45
Jeff Brehaut,0,16927,286.1,66.17,67.3,1.787,29.35,42.31,55.04,17.73,29.67
Jeff Gove,0,27361,289.8,65.65,72.03,1.813,25.8,50.46,58.68,18.6,30.11
Jeff Maggert,0,55014,281.5,71.86,65.36,1.789,27.5,47.5,53.47,17.97,29.33
Jeff Overton,0,20612,299.1,58.28,65.29,1.793,28.41,51.54,59.21,21.07,29.18
Jeff Sluman,0,43173,279.8,64.81,65.24,1.763,29.54,56.02,58.86,14.84,29.05
Jerry Kelly,0,56058,278.1,70.26,67.11,1.781,28.46,54.05,60.98,19.47,29.17
Jerry Smith,0,19594,277.9,69.66,66.55,1.78,28.79,58.59,60.11,16.86,29.35
Jesper Parnevik,0,54513,290.5,61.37,64.42,1.745,30.9,47.95,60.59,22.54,28.58
Jim Furyk,0,300555,281.9,73.85,70.71,1.742,30.47,47.62,64.66,25.6,28.85
Jimmy Walker,0,7331,296.9,49.75,61.97,1.764,28.84,46.73,53.65,17.2,29.03
Joe Durant,0,100398,289.1,78.43,69.75,1.785,28.67,41.5,56,16.91,29.81
Joe Ogilvie,0,37004,287.3,64.07,65.08,1.757,30.99,52.86,59.79,20.63,28.7
Joey Sindelar,0,27673,284.2,65.58,68.64,1.799,27.09,39.69,53.54,17.65,30
John Cook,0,29296,277,70.65,66.33,1.789,27.07,46.07,60.59,18.68,29.31
John Daly,0,9149,307.1,52.48,60.88,1.79,31.47,43.18,52.46,20.22,29.37
"John Engler, Jr.",0,2692,287.4,58.07,59.78,1.809,25.28,49.61,53.61,16.95,29.36
John Huston,0,15964,292,58.74,62.58,1.777,30.24,48.21,58.97,20.96,28.92
John Rollins,0,53530,295.5,64.22,66.12,1.755,30.73,39.33,52.97,20.28,29.15
John Senden,0,58953,296.2,64.95,71.15,1.793,27.23,51.97,58.18,24.89,29.84
Jon Mills,0,2426,298.2,57.05,62.71,1.835,24.36,55.05,55.76,18.01,29.65
Jonathan Byrd,0,70421,298.1,64.15,69.61,1.75,33.09,48.6,60.94,22.64,29.06
Jonathan Kaye,0,18085,294.6,65.37,68.42,1.828,25.8,34.35,57.55,24.81,29.99
Jose Maria Olazabal,0,117801,287.2,59.68,65.52,1.77,28.89,54.43,57.78,19.25,29.1
Justin Leonard,0,30068,282.3,67.24,63.36,1.779,26.34,48.8,58.73,18.94,28.87
Justin Rose,0,58189,291.4,64,67.89,1.759,31.72,52.31,58.29,21.31,29
K.J. Choi,0,91406,287,65.03,68.12,1.792,27.53,56.49,58.9,17.01,29.51
Kenny Perry,0,37214,293.1,68.45,68.75,1.813,26.46,48.84,54.57,17.67,30.19
Kent Jones,0,26899,287.1,67.95,65.46,1.762,29.54,52.87,55.89,18.63,29.2
Kevin Sutherland,0,25918,293.5,64.52,68.29,1.796,27.15,52.99,60.58,21.31,29.5
Kirk Triplett,0,42589,281,72.76,65.28,1.757,29.05,45.35,56,18.56,28.79
Kris Cox,0,18494,298.4,59.31,66.39,1.783,28.66,48.04,56.73,17.57,29.3
Larry Mize,0,12110,278.3,74.33,64.16,1.803,23.17,43.75,60.49,16.79,29.18
Lee Janzen,0,18721,282.7,56.39,63.08,1.765,30.58,50.35,52.76,17.95,29.23
Len Mattiace,0,3025,290.6,56.71,58.85,1.773,29.21,47.37,55.38,17.39,28.75
Lucas Glover,0,83483,299.4,63.69,67.33,1.763,32.02,47.53,56.23,20.42,29.15
Luke Donald,0,176523,283.7,66.86,66.05,1.752,30.19,63.64,65.35,22.22,28.54
Marco Dawson,0,20188,291.9,61.17,64.94,1.752,30.74,53.23,56.47,20.32,28.67
Mark Brooks,0,5777,274.3,69.35,62.92,1.799,23.86,48.03,57.41,15.27,29.27
Mark Calcavecchia,0,26123,282.4,65.3,62.07,1.792,30.67,44.3,56.28,16.99,29.37
Mark O'Meara,0,11315,274.4,57.35,59.44,1.778,27.66,51.11,58.9,16.46,28.7
Mark Wilson,0,18513,282,67.23,67.98,1.758,29.85,55.81,58.45,19.5,29.28
Mathew Goggin,0,41390,296,63.5,67.14,1.824,27.78,45.13,55.31,16.82,30.16
Mathias Gronberg,0,22467,295.1,62.51,66.54,1.8,29.17,40.28,56.34,22.61,29.39
Matt Hansen,0,7490,300.5,59.85,66.92,1.839,27.36,39.08,58.02,18.36,30.15
Michael Allen,0,18838,291.8,58.01,62.7,1.746,31.86,59.09,58.87,17.96,28.48
Michael Connell,0,4444,281.9,60.99,64.12,1.819,26.4,45.07,51.29,20.22,30
Mike Sposa,0,5285,284.8,65.71,63.16,1.823,26.93,56.04,59.63,20.1,29.37
Mike Weir,0,78489,281.2,64.1,66.47,1.752,30.73,53.79,58.67,21.79,29.06
Nathan Green,0,56693,282,63.1,63.03,1.757,31.32,53.07,60.98,24.92,28.56
Nicholas Thompson,0,8272,295.6,67.44,65.35,1.829,27.17,44.67,53.79,17.52,30.12
Nick Watney,0,42890,300.6,61.78,65.38,1.788,31.72,43.51,61.15,21.64,29.08
Olin Browne,0,25135,276.6,73.56,64.32,1.764,29.06,44.59,55.09,23.68,28.86
Omar Uresti,0,26532,280.5,74.3,66.38,1.807,25.89,47.89,63.59,20.92,29.34
Padraig Harrington,0,89312,294.7,66.14,65.22,1.758,31.18,52.86,60.38,23.26,29.04
Pat Perez,0,37869,298.4,59.31,64.67,1.771,30.05,47.19,54.4,20,29.04
Patrick Sheehan,0,11376,287.5,64.99,63.89,1.788,26.92,41.22,59.08,15.85,28.99
Paul Azinger,0,23403,285.8,62.65,62.39,1.769,28,52.35,63.16,15.52,28.38
Paul Goydos,0,37100,274.3,72.9,65.28,1.793,26.98,44.35,60.67,16.83,29.17
Paul Stankowski,0,14527,295.4,61.23,65.87,1.811,26.9,47.87,56.98,15.5,29.71
Peter Lonard,0,38046,280.6,64.19,63.16,1.824,25.35,57.14,58.13,19.33,29.51
Phil Mickelson,0,224027,300.7,58.61,68.28,1.731,35.66,40.4,55.84,23.33,28.91
Retief Goosen,0,145414,297.6,57.28,65.46,1.771,30.26,49.48,57.37,23.78,28.98
Rich Beem,0,24379,295.6,63.24,66.2,1.787,29.25,44.87,53.66,20.16,29.6
Richard S. Johnson,0,53634,283.4,67.99,66.02,1.764,28.43,46.81,59.83,21.25,28.94
Robert Allenby,0,68345,293.9,69.33,67.89,1.746,31.09,51.49,56.18,20.09,29.1
Robert Damron,0,14558,281.7,62.93,63.55,1.781,27.87,50.35,57.62,24.1,28.93
Robert Gamez,0,16455,279.5,69.51,64.83,1.788,27.67,52.9,55.97,21.02,29.26
Robert Garrigus,0,19200,309.8,57.25,64.66,1.792,31.43,45.89,54.73,24.63,29.28
Rod Pampling,0,111028,288.2,60.46,62.5,1.745,30.65,59.15,58.2,20.08,28.44
Roger Tambellini,0,4667,299.2,57.53,65.39,1.833,26.43,39.36,49.47,19.03,30.18
Ron Whittaker,0,10715,281.8,68.57,66.03,1.792,26.2,37.5,54.24,18.45,29.63
Rory Sabbatini,0,119240,290.4,56.49,64.52,1.781,30.18,54.48,59.43,19.83,28.92
Ryan Hietala,0,3816,305.9,51.03,60.08,1.809,26.96,40.66,53.07,15.81,29.36
Ryan Moore,0,51005,292.2,66.96,63.25,1.773,30.27,52.25,59.77,20.32,28.69
Ryan Palmer,0,36428,295.8,62.03,64.2,1.764,30.93,43.4,58.78,20.27,28.8
Ryuji Imada,0,32843,284.9,58.62,64.81,1.764,28.04,54.94,60.68,22.34,28.87
Scott Gutschewski,0,19973,303.3,64.98,66.67,1.77,29.06,41.77,51.63,16.46,29.53
Scott Verplank,0,69173,276.1,75.23,66.02,1.755,29.9,50.39,62.55,19.55,28.72
Sean O'Hair,0,47046,292.7,63.7,64.74,1.8,29.74,51.9,55.79,22.4,29.56
Sergio Garcia,0,91808,292.7,61.11,67.47,1.802,30.43,46.74,52.8,23.56,29.78
Shane Bertsch,0,20502,279.1,67.35,63.89,1.751,30.28,46.11,57.47,20.52,28.71
Shaun Micheel,0,56305,288.4,61.79,67.62,1.777,28.05,46.34,56.27,20.82,29.53
Shigeki Maruyama,0,38471,286.3,61.37,63.59,1.749,30.86,50.64,60.86,19.77,28.58
Skip Kendall,0,19997,281.2,72.08,67.21,1.77,27.24,49.52,58.82,18.46,29.15
Stephen Ames,0,114055,289.8,62.98,66.49,1.752,30.41,45.54,59.09,20.96,29.05
Stephen Leaney,0,27657,276.4,65.81,67.13,1.755,27.88,50.5,60.97,16.02,28.95
Steve Elkington,0,15012,285.8,73.91,69.61,1.817,24.96,57.14,64.52,15.97,29.88
Steve Flesch,0,42958,286.2,65.59,65.99,1.771,28.43,55.61,60.8,20.4,28.88
Steve Jones,0,11421,277.1,64.51,62.8,1.809,26.24,49.25,57.92,14.18,29.33
Steve Lowery,0,36289,287.1,62.52,65.46,1.782,28.33,52.29,57.21,15.94,29.14
Steve Stricker,0,106577,285.3,66.98,68.01,1.734,30.56,62.03,65.55,17.74,28.26
Stewart Cink,0,105997,292,59.72,64.9,1.756,30.99,57.34,60.61,18.49,28.75
Stuart Appleby,0,150889,289.7,59.62,63.53,1.743,31.53,56.72,59.18,17.35,28.63
Tag Ridings,0,15098,305.3,54.1,61.22,1.766,31.72,51.02,54.58,19.12,28.79
Ted Purdy,0,36861,287.8,65.86,67.05,1.796,28.62,41.55,54.09,23.3,29.66
Thomas Levet,0,9062,286.9,64.01,65.9,1.851,23.71,47.52,58.47,14.84,30.1
Tiger Woods,1,662771,306.4,60.71,74.15,1.756,35.26,55.17,62.81,24.77,29.38
Tim Clark,0,89770,276.7,67.27,65.96,1.763,30.66,47.9,59.09,18.81,29.03
Tim Herron,0,65783,294.8,58.28,62.62,1.802,27.17,51.88,55.23,14.02,29.44
Tim Petrovic,0,20064,281,63.54,61.29,1.799,27.35,56.25,60.57,14.08,29.01
Tjaart van der Walt,0,11187,282.7,69.69,64.52,1.808,25.45,46.67,62.91,18.71,29.42
Todd Fischer,0,11309,274.6,64.83,62.23,1.744,29.27,40,56.76,21.55,28.59
Todd Hamilton,0,6117,283.6,56.32,56.87,1.792,27.38,42.15,51.34,14.29,29.01
Tom Lehman,0,84604,286.6,60.96,65.93,1.827,24.37,39.36,54.89,16.48,30.08
"Tom Pernice, Jr.",0,72623,283.9,65.28,64.53,1.756,31.7,51.72,58.58,22.22,28.88
Tommy Armour III,0,14098,282.4,66.74,63.76,1.752,29.97,42.86,53.77,19.9,29.08
Trevor Immelman,0,160175,294.9,62.08,69.06,1.771,30.06,55.05,60.54,19.91,29.26
Troy Matteson,0,55581,298.7,59.45,66.34,1.803,28.12,47.17,57.68,15.12,29.52
Vance Veazey,0,10354,285.8,57.58,61.58,1.752,30.02,48.24,51.96,17.24,28.93
Vaughn Taylor,0,68613,286.6,63.31,64.08,1.725,34.26,57.35,55.36,25.93,28.67
Vijay Singh,0,170460,293.7,59.4,67.83,1.753,31.77,55.09,60.28,22.39,28.89
"Wes Short, Jr.",0,12803,291.6,57.78,64.18,1.782,30.56,48.41,49.5,20.95,29.7
Will MacKenzie,0,30344,296.7,62.91,67.99,1.809,28.65,38.33,54.44,21.19,29.97
Woody Austin,0,38043,287.7,61.11,62.67,1.773,30.49,47.94,59.94,21.85,28.72
Zach Johnson,0,90824,283.7,69.63,66.86,1.774,26.94,47.29,57.52,18.91,29.32
