"HOF","FY","LY","SP","POS","ASG","G","AB","R","H","DB","TP","HR","RBI","SB","CS","BB","SO","AVG","SLG","OBP"
"Y",1961,1983,23,"OF",0.78,3308,11988,1816,3419,646,59,452,1844,168,116,1845,1393,285,462,379
"Y",1941,1963,22,"OF",0.91,3026,10972,1949,3630,725,177,475,1951,78,31,1599,696,331,559,417
"Y",1959,1976,18,"OF",0.33,2488,9350,1410,2711,434,88,426,1475,90,49,1045,1046,290,492,361
"Y",1981,1997,16,"2B",0.62,2164,8385,1318,2386,403,76,282,1061,344,107,761,1260,285,452,344
"Y",1973,1993,21,"3B",0.62,2707,10349,1583,3154,665,137,317,1595,201,97,1096,908,305,487,369
"Y",1954,1976,23,"OF",0.91,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,305,555,374
"Y",1962,1982,21,"OF",0.33,2360,7927,1195,2232,423,55,475,1540,17,16,937,1936,282,529,360
"Y",1969,1993,24,"C",0.46,2499,8756,1276,2356,421,47,376,1330,128,58,849,1386,269,457,341
"Y",1974,1993,20,"SS",0.15,2856,11008,1632,3142,583,126,251,1406,271,105,966,1350,285,430,342
"Y",1972,1989,18,"3B",0.67,2404,8352,1506,2234,408,59,548,1595,174,92,1507,1883,267,527,380
"Y",1954,1975,22,"1B",0.5,2435,8147,1283,2086,290,24,573,1584,19,18,1559,1699,256,509,376
"Y",1946,1965,19,"C",0.79,2120,7555,1175,2150,321,49,358,1430,30,26,704,414,285,482,348
"Y",1961,1979,19,"OF",0.32,2616,10332,1610,3023,486,141,149,900,938,307,761,1730,293,410,343
"Y",1945,1963,19,"2B",0.53,2216,8479,1223,2449,427,78,84,773,89,27,606,346,289,387,337
"Y",1953,1971,19,"1B",0.58,2528,9421,1305,2583,407,90,512,1636,50,53,763,1236,274,500,330
"Y",1951,1968,18,"OF",0.89,2401,8102,1677,2415,344,72,536,1509,153,38,1733,1710,298,557,421
"N",1951,1962,12,"OF",0.08,829,2261,320,624,96,26,105,374,12,10,212,392,276,481,340
"N",1994,2003,10,"OF",0,1000,3347,500,882,146,28,25,241,260,61,243,581,264,346,313
"N",1994,2006,13,"SS",0,1396,4977,623,1209,274,27,137,536,97,48,392,1165,243,391,302
"N",1967,1978,11,"C",0.09,922,2729,247,654,92,4,80,320,6,8,260,361,240,364,310
"N",1968,1979,12,"C",0,711,1888,205,415,66,7,62,230,1,5,229,319,220,361,306
"N",1979,1995,17,"OF",0,1635,5798,985,1553,260,54,255,870,284,78,718,1285,268,463,352
"N",1998,2007,10,"OF",0.1,1108,4003,573,1055,221,16,189,668,124,55,350,1085,264,468,329
"N",1987,1999,13,"C",0,1008,2982,248,733,111,20,21,278,10,19,243,505,246,318,311
"N",1998,2008,11,"C",0.36,1082,3892,483,1112,222,8,80,481,20,19,266,295,286,409,337
"N",1970,1988,19,"OF",0.11,2353,7917,1036,2251,391,94,165,1077,317,136,898,1031,284,420,354
"N",1980,1991,11,"3B",0.09,1212,3802,453,972,193,26,71,442,34,26,408,602,256,376,326
"N",1963,1980,18,"OF",0.22,2028,7298,873,1993,284,40,325,1163,20,38,620,1313,273,457,332
"N",1963,1975,13,"OF",0,1051,2262,330,582,78,19,84,322,30,8,242,275,257,420,330
"N",1946,1963,18,"C",0.39,1752,5351,623,1415,244,14,155,808,20,10,671,453,264,402,357
"N",1964,1974,11,"OF",0,997,3307,391,864,109,24,116,445,40,41,263,672,261,414,326
"N",1987,1998,11,"2B",0.09,1119,3734,624,1035,171,41,30,294,117,60,380,335,277,369,348
"N",1995,2008,14,"OF",0,1218,1830,220,464,101,9,42,250,16,9,259,425,254,387,347
"N",1983,1995,12,"2B",0,1190,3202,339,821,104,24,14,254,35,33,448,376,256,317,346
"N",1995,2004,10,"OF",0,488,1463,180,352,44,13,66,212,10,13,81,330,241,424,279
"N",1971,1981,11,"2B",0,1237,4521,500,1239,177,41,41,432,75,54,207,348,274,359,306
"N",1965,1978,13,"2B",0,1499,5566,610,1491,211,46,45,438,80,47,298,561,268,347,307
"N",1990,2001,12,"2B",0,752,1988,239,518,116,8,19,187,4,11,228,274,261,356,340
"N",1961,1977,17,"1B",0.24,2042,6681,889,1776,270,11,339,1187,20,21,1001,1226,266,462,361
"N",1971,1982,12,"3B",0,1138,3950,488,1016,145,40,27,322,156,112,372,505,257,335,321
"N",1960,1972,13,"2B",0.15,1622,5722,722,1469,216,55,78,506,135,63,314,812,257,355,296
"N",1983,1992,10,"SS",0,873,2026,244,490,73,12,19,143,49,30,206,331,242,318,312
"N",1956,1967,11,"OF",0.09,1221,3895,540,1020,175,37,112,485,45,30,351,574,262,412,323
"N",1990,2005,15,"3B",0,1230,1793,187,466,79,6,35,222,5,7,283,332,260,369,360
"N",1982,1994,13,"OF",0,1159,3513,591,886,183,51,90,352,322,83,481,688,252,410,342
"N",1976,1986,11,"3B",0.09,1106,3125,373,727,126,9,121,396,24,22,482,496,233,395,337
"N",1990,2003,14,"C",0.14,1225,3769,495,883,167,7,202,599,14,11,453,988,234,443,320
"N",1967,1978,11,"OF",0.09,1026,3120,314,799,106,30,91,387,13,7,185,693,256,397,298
"N",1990,2001,12,"OF",0,626,1548,210,389,73,11,39,219,33,15,186,247,251,388,332
"N",1962,1977,16,"2B",0.31,1822,6309,714,1660,254,25,54,593,74,68,396,489,263,337,306
"N",1994,2003,10,"2B",0,979,2268,290,591,117,17,44,268,30,15,195,268,261,385,319
"N",1982,1991,10,"1B",0,1013,3202,420,794,141,6,110,462,41,18,434,469,248,399,338
"N",1978,1989,11,"2B",0.18,1032,3914,490,1108,183,27,36,323,203,90,130,322,283,371,309
"N",1975,1984,10,"OF",0,665,1604,146,447,71,11,34,219,3,17,81,317,279,400,313
"N",1974,1988,14,"OF",0,1537,4877,605,1334,186,76,107,550,92,57,353,793,274,409,322
"N",1968,1983,16,"3B",0.25,1720,6215,798,1623,302,36,176,729,80,51,600,866,261,406,328
"N",1965,1983,17,"OF",0.29,1908,6730,972,1862,285,45,252,1043,127,75,862,841,277,445,357
"N",1978,1991,14,"C",0.29,1491,4979,474,1313,244,12,113,628,6,15,365,855,264,386,314
"N",1964,1975,11,"2B",0,682,1732,176,403,42,9,14,134,4,10,127,151,233,292,286
"N",1960,1972,11,"C",0.09,909,2828,201,712,94,9,50,304,5,12,207,344,252,344,304
"N",1955,1968,11,"SS",0,1105,3244,357,819,130,26,35,285,12,12,390,341,252,341,333
"N",1986,1997,12,"C",0,939,2597,336,574,120,6,96,335,24,14,233,749,221,383,289
"N",1998,2007,10,"OF",0,855,2030,290,494,120,17,63,318,29,15,244,495,243,412,325
"N",1957,1970,14,"C",0.29,1585,4847,512,1206,190,44,104,548,67,56,547,677,249,371,326
"N",1951,1966,16,"OF",0.19,1766,6285,792,1671,262,31,286,962,15,22,484,894,266,454,320
"N",1997,2008,12,"1B",0.25,1405,5066,690,1531,322,12,130,735,18,8,477,577,302,447,367
"N",1993,2008,16,"SS",0,1515,4604,517,1206,234,18,60,487,35,33,408,750,262,360,325
"N",1969,1990,22,"1B",0.05,2517,9397,1077,2715,498,49,174,1208,183,73,450,453,289,408,321
"N",1972,1987,16,"OF",0.06,2033,7147,1083,2011,319,51,234,978,183,74,940,1125,281,439,364
"N",1973,1989,14,"OF",0,859,1699,216,438,91,6,30,205,4,5,282,240,258,371,362
"N",1963,1974,12,"3B",0.08,1125,3783,518,1052,148,29,170,578,17,17,380,573,278,467,345
"N",1951,1963,10,"1B",0.1,1013,3020,384,805,135,33,132,467,10,3,353,460,267,464,341
"N",1973,1989,17,"OF",0,1809,3745,449,1073,130,46,7,308,39,44,523,250,287,351,372
"N",1981,1999,19,"OF",0.16,2436,8673,1240,2380,424,30,350,1372,142,98,1194,1698,274,451,360
"N",1960,1979,18,"OF",0.11,2429,9174,1217,2561,395,138,182,1053,398,131,418,977,279,412,311
"N",1956,1967,12,"2B",0.08,1371,4912,620,1314,190,52,47,454,20,15,428,411,268,356,325
"N",1995,2006,12,"OF",0.17,1334,4763,756,1273,267,17,138,631,165,66,681,613,267,417,368
"N",1968,1981,14,"SS",0.21,1650,5530,736,1340,216,55,41,490,385,131,523,787,242,324,309
"N",1993,2005,11,"OF",0,460,1113,136,286,60,8,22,124,9,6,94,200,257,385,318
"N",1952,1961,10,"OF",0,1171,3552,503,911,155,56,83,422,160,70,365,523,256,402,328
"N",1974,1985,12,"OF",0,972,3007,430,811,143,28,19,288,108,37,292,318,270,355,334
"N",1981,1990,10,"SS",0,863,2322,301,559,60,17,9,133,108,41,219,384,241,293,307
"N",1989,2000,12,"OF",0.42,1539,5853,974,1726,389,21,381,1239,88,41,683,961,295,564,369
"N",1956,1970,15,"OF",0.07,1719,5121,650,1395,224,34,125,656,46,21,544,694,272,403,343
"N",1973,1983,11,"OF",0.09,1071,3853,548,1153,167,55,63,430,183,63,248,457,299,420,345
"N",1997,2008,12,"3B",0,1030,2486,286,601,88,19,18,209,38,16,250,447,242,314,313
"N",1990,2007,17,"1B",0.12,2024,6957,870,1982,385,36,214,1071,54,29,671,1168,285,443,347
"N",1954,1969,14,"SS",0,1390,4019,524,963,150,22,179,559,14,11,508,944,240,421,331
"N",1988,2002,15,"OF",0.2,1834,6499,1062,1661,338,67,210,761,315,100,960,1190,256,425,362
"N",1984,1993,10,"SS",0,1038,3064,307,738,99,34,19,219,74,46,256,425,241,314,300
"N",1984,1993,10,"1B",0.2,1015,3719,510,965,177,13,190,603,28,11,370,613,259,467,332
"N",1962,1978,15,"C",0.13,948,2618,245,615,101,17,49,309,13,14,246,529,235,343,306
"N",1996,2007,12,"1B",0,1274,3899,517,996,225,27,119,549,33,23,412,594,255,419,329
"N",1967,1982,16,"OF",0.19,1547,5556,684,1468,287,39,179,810,25,15,369,870,264,427,311
"N",1963,1985,23,"OF",0.26,2951,9720,1189,2716,499,47,292,1466,47,33,1255,888,279,431,362
"N",1958,1967,10,"SS",0,817,2328,198,549,68,9,3,137,23,25,99,116,236,277,270
"N",1990,2003,13,"OF",0,1391,3998,564,1108,229,28,103,585,57,29,487,661,277,426,355
"N",1964,1973,10,"OF",0,730,1721,167,400,58,19,36,163,22,16,142,357,232,351,292
"N",1955,1964,10,"C",0,879,2682,269,715,148,10,58,323,7,10,196,361,267,394,317
"N",1990,2002,13,"3B",0.38,1698,6481,895,1776,345,40,223,1022,72,38,602,1369,274,443,336
"N",1982,1997,16,"C",0,1327,4063,415,1151,235,28,77,476,18,15,311,559,283,412,338
"N",1995,2006,12,"3B",0,1403,4826,587,1239,267,18,123,589,19,20,428,687,257,396,320
"N",1955,1967,11,"OF",0,1125,2918,374,699,112,19,117,401,23,8,363,401,240,411,326
"N",1962,1976,15,"OF",0.53,1676,6301,870,1917,329,48,220,947,86,55,448,645,304,476,353
"N",1975,1992,18,"2B",0.33,2202,8018,1239,2210,316,65,54,687,271,94,1243,675,276,351,373
"N",1969,1992,24,"C",0,1766,4692,525,1093,223,12,96,471,20,19,592,736,233,347,319
"N",1988,2001,14,"OF",0.29,1704,6381,934,1906,401,27,274,1141,152,73,355,1078,299,499,336
"N",1977,1990,14,"OF",0,784,1581,183,430,50,12,20,158,47,24,143,275,272,357,330
"N",1955,1971,16,"3B",0,1725,5780,645,1396,200,33,162,654,41,28,470,931,242,372,299
"N",1981,1991,11,"OF",0,1036,3090,389,739,128,24,70,313,98,40,182,671,239,364,281
"N",1977,1988,11,"OF",0.09,1168,4058,581,1128,179,25,130,634,39,24,576,605,278,431,367
"N",1958,1970,13,"3B",0.08,1501,4427,552,1142,177,37,77,456,16,25,382,673,258,367,318
"N",1982,1999,18,"OF",0,2161,7617,1300,2023,360,50,160,819,177,114,1319,1499,266,389,374
"N",1989,2005,17,"OF",0.29,1988,6907,1355,2160,471,62,383,1311,230,76,913,1231,313,565,400
"N",1965,1974,10,"OF",0,658,1963,204,464,75,8,73,267,5,8,99,350,236,394,273
"N",1981,1993,12,"OF",0.25,1587,6123,814,1702,308,34,265,1002,67,36,331,771,278,469,316
"N",1950,1961,10,"C",0,653,1994,202,494,64,11,47,235,6,7,151,147,248,362,302
"N",1993,2004,12,"2B",0.08,1148,4240,627,1196,194,49,40,343,116,67,288,292,282,379,348
"N",1965,1978,13,"2B",0.31,1435,4797,564,1252,242,18,136,609,33,25,559,675,261,404,340
"N",1972,1989,18,"3B",0.28,2405,8995,1151,2514,425,56,201,1106,55,79,836,776,279,406,341
"N",1966,1976,11,"OF",0,697,1605,224,363,50,8,52,175,36,24,184,411,226,364,311
"N",1963,1973,10,"OF",0,777,1420,164,336,45,14,8,112,38,20,139,218,237,305,306
"N",1993,2006,13,"1B",0,754,1800,238,445,88,3,79,294,19,13,194,393,247,431,326
"N",1960,1969,10,"SS",0,389,988,106,257,38,3,6,70,12,7,61,127,260,323,309
"N",1959,1971,12,"SS",0.17,1400,5141,650,1246,230,63,95,471,97,48,318,810,242,367,290
"N",1980,1989,10,"SS",0,568,1104,142,260,43,10,37,109,7,5,94,220,236,393,304
"N",1986,1996,10,"OF",0,930,2147,277,565,104,9,41,271,19,18,314,381,263,377,356
"N",1963,1974,12,"2B",0,702,1411,150,336,50,7,14,159,5,4,163,184,238,313,316
"N",1984,1995,10,"1B",0,945,2591,323,602,109,12,104,348,74,28,260,626,232,404,303
"N",1989,2001,13,"C",0,1076,3367,320,831,174,3,102,476,13,13,248,637,247,391,299
"N",1995,2007,13,"OF",0,1206,2335,306,640,113,14,12,226,37,28,265,230,274,350,351
"N",1953,1964,12,"OF",0,1610,6056,937,1651,241,102,94,545,207,89,482,793,273,393,328
"N",1968,1981,14,"C",0,722,1993,151,441,74,11,30,173,10,4,228,415,221,315,306
"N",1965,1974,10,"C",0,393,1049,54,237,31,3,9,66,3,6,87,168,226,287,287
"N",1964,1976,11,"C",0.09,929,2885,274,617,79,4,109,341,5,13,252,677,214,357,279
"N",1970,1986,17,"2B",0.35,2008,6890,1033,1833,320,47,224,864,104,83,1087,1278,266,424,371
"N",1947,1963,17,"OF",0.24,1862,6099,867,1692,289,42,266,1178,9,19,828,842,277,469,364
"N",1978,1991,14,"C",0,1192,3440,348,914,172,7,71,438,14,10,385,378,266,382,340
"N",1986,1998,13,"C",0,474,1303,112,279,50,0,53,168,3,3,98,319,214,375,268
"N",1972,1981,10,"2B",0,1017,2959,281,714,118,28,27,269,23,18,175,411,241,327,285
"N",1981,1994,14,"1B",0.07,1747,6192,903,1749,312,18,293,1086,37,26,838,798,282,481,367
"N",1991,2006,16,"OF",0.31,2076,7869,1366,2336,449,55,287,1257,147,87,1069,1212,297,477,381
"N",1987,2004,18,"OF",0.11,2000,7232,1253,2107,402,63,352,1206,181,84,793,1340,291,510,363
"N",1976,1986,10,"3B",0,789,1883,204,471,85,9,14,146,11,12,104,185,250,327,291
"N",1982,1992,11,"OF",0,769,1723,247,438,69,17,11,145,101,57,143,226,254,333,313
"N",1974,1985,12,"2B",0,1057,3379,329,917,91,29,1,263,52,71,248,255,271,316,325
"N",1958,1972,15,"SS",0.07,1384,4311,446,1007,156,17,106,501,9,14,551,643,234,351,320
"N",1963,1973,10,"1B",0,393,661,79,153,18,4,14,90,6,5,54,150,231,334,288
"N",1962,1982,20,"OF",0.05,1536,3779,496,1149,125,52,31,438,50,42,289,320,304,389,355
"N",1958,1969,10,"1B",0.1,1112,3997,506,1055,157,30,228,743,2,7,301,957,264,489,316
"N",1990,2003,14,"SS",0.07,1720,5770,676,1500,257,30,91,626,96,58,500,800,260,362,323
"N",1950,1964,14,"OF",0.14,1133,3245,478,856,110,26,148,532,18,7,484,545,264,451,360
"N",1959,1969,10,"C",0,786,2216,268,546,111,5,93,320,24,21,215,420,246,427,315
"N",1995,2004,10,"3B",0,828,2326,351,640,118,9,51,265,49,16,191,308,275,399,335
"N",1989,2001,13,"OF",0,1162,3715,528,1005,187,21,186,586,96,38,270,845,271,482,321
"N",1969,1980,12,"OF",0,1010,2733,372,722,140,9,96,358,26,18,538,611,264,427,387
"N",1993,2005,11,"SS",0,721,1620,171,390,85,7,22,151,10,12,100,343,241,343,293
"N",1966,1982,14,"1B",0.07,1632,5843,645,1604,279,25,139,802,32,42,465,751,275,402,327
"N",1959,1970,12,"OF",0,1365,3631,488,984,150,29,42,319,58,32,294,438,271,363,325
"N",1991,2001,11,"C",0,720,2114,280,515,95,7,81,275,9,12,278,571,244,410,332
"N",1974,1988,15,"SS",0,1236,3330,390,846,138,25,36,296,128,60,250,636,254,343,305
"N",1952,1962,11,"1B",0,835,2493,357,632,104,8,103,402,10,11,363,462,254,426,351
"N",1979,1991,13,"2B",0.08,1514,5349,676,1450,254,41,28,574,188,64,627,584,271,350,347
"N",1962,1977,16,"3B",0,1583,5131,568,1273,172,26,156,606,20,19,510,815,248,383,316
"N",1961,1975,15,"SS",0.07,1846,6045,550,1355,201,38,60,461,30,35,444,845,224,300,280
"N",1976,1991,16,"SS",0.19,2079,7721,893,2096,329,106,70,728,242,129,375,1092,271,369,304
"N",1969,1979,11,"C",0.64,1423,5344,696,1558,229,32,113,701,48,50,438,571,292,410,346
"N",1993,2005,11,"1B",0,632,1493,182,362,68,8,36,175,9,9,126,367,242,371,305
